,marketType,userType,individualGroup,dtYearMonth,eventSum,costOfPerson
212,숙박,내국인관광객,개별,201702,3734412,4693314
213,쇼핑,중국인관광객,단체,201702,1184152,1980990
214,쇼핑,중국인관광객,개별,201702,1056326,2076360
215,쇼핑,내국인관광객,개별,201702,751690,1584757
216,소매,중국인관광객,단체,201702,4480419,5174114
217,소매,중국인관광객,개별,201702,2990941,3853633
218,소매,내국인관광객,개별,201702,2213797,2808110
219,문화/레져,중국인관광객,단체,201702,766331,848544
220,문화/레져,중국인관광객,개별,201702,279527,314005
221,문화/레져,내국인관광객,개별,201702,1777079,2243248
222,기타,중국인관광객,단체,201702,23549625,36022755
223,기타,중국인관광객,개별,201702,2393948,2639343
224,기타,내국인관광객,개별,201702,2135285,3363717
225,교통,중국인관광객,단체,201702,190680,191466
226,교통,중국인관광객,개별,201702,94689,94689
227,교통,내국인관광객,개별,201702,1823341,2182218
228,유흥,중국인관광객,단체,201701,114347,120027
229,유흥,중국인관광객,개별,201701,48575,51132
230,유흥,내국인관광객,개별,201701,3729155,5128468
231,식음료,중국인관광객,단체,201701,1428211,1570523
232,식음료,중국인관광객,개별,201701,825551,985751
233,식음료,내국인관광객,개별,201701,1565572,2284368
234,숙박,중국인관광객,개별,201701,4534578,5093158
235,숙박,내국인관광객,개별,201701,3558053,4584907
236,쇼핑,중국인관광객,단체,201701,1201857,1978417
237,쇼핑,중국인관광객,개별,201701,1231644,2225095
238,쇼핑,내국인관광객,개별,201701,792675,1713477
239,소매,중국인관광객,단체,201701,4411168,5029926
240,소매,중국인관광객,개별,201701,3821356,4644480
241,소매,내국인관광객,개별,201701,2458003,3147360
242,문화/레져,중국인관광객,단체,201701,628797,678602
243,문화/레져,중국인관광객,개별,201701,272838,302187
244,문화/레져,내국인관광객,개별,201701,1790946,2264623
245,기타,중국인관광객,단체,201701,10055446,13710156
246,기타,중국인관광객,개별,201701,280571,341594
247,기타,내국인관광객,개별,201701,2334079,3648728
248,교통,중국인관광객,단체,201701,17926,18981
249,교통,중국인관광객,개별,201701,291974,327216
250,교통,내국인관광객,개별,201701,1878620,2238080
251,유흥,중국인관광객,단체,201612,242820,298645
252,유흥,중국인관광객,개별,201612,114938,131357
253,유흥,내국인관광객,개별,201612,3921968,5550457
254,식음료,중국인관광객,단체,201612,1416360,1551483
255,식음료,중국인관광객,개별,201612,748536,911582
256,식음료,내국인관광객,개별,201612,1439375,2167551
257,숙박,중국인관광객,개별,201612,5468565,6053883
258,숙박,내국인관광객,개별,201612,3690249,4784776
259,쇼핑,중국인관광객,단체,201612,1144623,1919337
260,쇼핑,중국인관광객,개별,201612,875335,1743558
261,쇼핑,내국인관광객,개별,201612,739404,1650922
262,소매,중국인관광객,단체,201612,4617512,5325297
263,소매,중국인관광객,개별,201612,3474264,4375565
264,소매,내국인관광객,개별,201612,1962506,2501116
265,문화/레져,중국인관광객,단체,201612,676033,753156
266,문화/레져,중국인관광객,개별,201612,338592,387980
267,문화/레져,내국인관광객,개별,201612,1745966,2236133
268,기타,중국인관광객,단체,201612,9286374,14143677
269,기타,중국인관광객,개별,201612,1557094,2756766
270,기타,내국인관광객,개별,201612,2007556,3331396
271,교통,중국인관광객,단체,201612,16588,18431
272,교통,중국인관광객,개별,201612,169409,203468
273,교통,내국인관광객,개별,201612,1763266,2126058
274,유흥,중국인관광객,단체,201611,107426,121750
275,유흥,내국인관광객,개별,201611,3889673,5502779
276,식음료,중국인관광객,단체,201611,1352459,1503979
277,식음료,중국인관광객,개별,201611,801179,990442
278,식음료,내국인관광객,개별,201611,1526704,2265471
279,숙박,중국인관광객,개별,201611,5270327,5302482
280,숙박,내국인관광객,개별,201611,3698594,4579612
281,쇼핑,중국인관광객,단체,201611,1195535,1959606
282,쇼핑,중국인관광객,개별,201611,981995,2200895
283,쇼핑,내국인관광객,개별,201611,743604,1650502
284,소매,중국인관광객,단체,201611,5008988,5823599
285,소매,중국인관광객,개별,201611,2863586,3594530
286,소매,내국인관광객,개별,201611,2113643,2687896
287,문화/레져,중국인관광객,단체,201611,503657,540783
288,문화/레져,중국인관광객,개별,201611,253806,282308
289,문화/레져,내국인관광객,개별,201611,2130788,2827826
290,기타,중국인관광객,단체,201611,4162486,5905030
291,기타,중국인관광객,개별,201611,184031,215212
292,기타,내국인관광객,개별,201611,2072611,3380930
293,교통,중국인관광객,단체,201611,21826,23039
294,교통,중국인관광객,개별,201611,220744,247642
295,교통,내국인관광객,개별,201611,1727308,2060015
296,유흥,중국인관광객,단체,201610,135502,142175
297,유흥,중국인관광객,개별,201610,295078,295078
298,유흥,내국인관광객,개별,201610,3744459,5222853
299,식음료,중국인관광객,단체,201610,2010233,2276215
300,식음료,중국인관광객,개별,201610,1312150,1630391
301,식음료,내국인관광객,개별,201610,1527592,2239637
302,숙박,중국인관광객,개별,201610,6222664,6942184
303,숙박,내국인관광객,개별,201610,3716517,4679968
304,쇼핑,중국인관광객,단체,201610,1145616,1840135
305,쇼핑,중국인관광객,개별,201610,1038611,2063275
306,쇼핑,내국인관광객,개별,201610,724651,1580682
307,소매,중국인관광객,단체,201610,4843786,5543703
308,소매,중국인관광객,개별,201610,6042429,7002883
309,소매,내국인관광객,개별,201610,1903711,2422658
310,문화/레져,중국인관광객,단체,201610,682810,738327
311,문화/레져,중국인관광객,개별,201610,457284,503765
312,문화/레져,내국인관광객,개별,201610,1920467,2526836
313,기타,중국인관광객,단체,201610,5902590,8354702
314,기타,중국인관광객,개별,201610,5063649,9216345
315,기타,내국인관광객,개별,201610,2169271,3509574
316,교통,중국인관광객,단체,201610,143830,145298
317,교통,중국인관광객,개별,201610,253510,288971
318,교통,내국인관광객,개별,201610,1704553,1985871
319,유흥,중국인관광객,단체,201609,197005,206232
320,유흥,중국인관광객,개별,201609,116800,116800
321,유흥,내국인관광객,개별,201609,3727169,5252920
322,식음료,중국인관광객,단체,201609,1640177,1801203
323,식음료,중국인관광객,개별,201609,1334388,1616370
324,식음료,내국인관광객,개별,201609,1425511,2049367
325,숙박,중국인관광객,개별,201609,6623609,7313320
326,숙박,내국인관광객,개별,201609,3866452,4961591
327,쇼핑,중국인관광객,단체,201609,1166040,1866513
328,쇼핑,중국인관광객,개별,201609,1002945,2003840
329,쇼핑,내국인관광객,개별,201609,729396,1549990
330,소매,중국인관광객,단체,201609,4820293,5405545
331,소매,중국인관광객,개별,201609,3650802,4165806
332,소매,내국인관광객,개별,201609,2253851,2809099
333,문화/레져,중국인관광객,단체,201609,687867,725042
334,문화/레져,중국인관광객,개별,201609,626024,708986
335,문화/레져,내국인관광객,개별,201609,1883371,2359508
336,기타,중국인관광객,단체,201609,4908175,6353378
337,기타,중국인관광객,개별,201609,5453836,10912377
338,기타,내국인관광객,개별,201609,2040259,3057268
339,교통,중국인관광객,단체,201609,141842,143341
340,교통,중국인관광객,개별,201609,460156,493638
341,교통,내국인관광객,개별,201609,1772615,2038371
