,sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
163,제주도,제주시,읍면,교통,내국인관광객,20대미만,여,201812,14,17,392900
164,제주도,제주시,읍면,교통,내국인관광객,20대미만,남,201812,25,29,705703
165,제주도,제주시,읍면,교통,내국인관광객,20대,여,201812,1719,2009,50911641
166,제주도,제주시,읍면,교통,내국인관광객,20대,남,201812,1695,1942,68591961
167,제주도,제주시,도심,유흥,제주도민,60대이상,여,201812,294,378,43409110
168,제주도,제주시,도심,유흥,제주도민,60대이상,남,201812,1252,1843,236672289
169,제주도,제주시,도심,유흥,제주도민,50대,여,201812,948,1194,101733275
170,제주도,제주시,도심,유흥,제주도민,50대,남,201812,4030,6047,879301490
171,제주도,제주시,도심,유흥,제주도민,40대,여,201812,1390,1712,149290960
172,제주도,제주시,도심,유흥,제주도민,40대,남,201812,4601,6753,1087845622
173,제주도,제주시,도심,유흥,제주도민,30대,여,201812,1047,1304,83918573
174,제주도,제주시,도심,유흥,제주도민,30대,남,201812,2963,3965,486783855
175,제주도,제주시,도심,유흥,제주도민,20대미만,여,201812,42,63,2430900
176,제주도,제주시,도심,유흥,제주도민,20대미만,남,201812,69,93,4791510
177,제주도,제주시,도심,유흥,제주도민,20대,여,201812,1627,2274,101603580
178,제주도,제주시,도심,유흥,제주도민,20대,남,201812,2401,3556,232900740
179,제주도,제주시,도심,유흥,내국인관광객,60대이상,여,201812,76,98,15906200
180,제주도,제주시,도심,유흥,내국인관광객,60대이상,남,201812,234,294,43076000
181,제주도,제주시,도심,유흥,내국인관광객,50대,여,201812,207,237,32006400
182,제주도,제주시,도심,유흥,내국인관광객,50대,남,201812,782,1052,177804380
183,제주도,제주시,도심,유흥,내국인관광객,40대,여,201812,220,256,27837373
184,제주도,제주시,도심,유흥,내국인관광객,40대,남,201812,913,1276,216974300
185,제주도,제주시,도심,유흥,내국인관광객,30대,여,201812,252,322,20334000
186,제주도,제주시,도심,유흥,내국인관광객,30대,남,201812,754,997,114918200
187,제주도,제주시,도심,유흥,내국인관광객,20대미만,여,201812,7,13,559700
188,제주도,제주시,도심,유흥,내국인관광객,20대미만,남,201812,4,6,585500
189,제주도,제주시,도심,유흥,내국인관광객,20대,여,201812,378,468,22051700
190,제주도,제주시,도심,유흥,내국인관광객,20대,남,201812,538,734,39909955
191,제주도,제주시,도심,식음료,제주도민,60대이상,여,201812,9619,16917,553040525
192,제주도,제주시,도심,식음료,제주도민,60대이상,남,201812,17456,34829,1386168632
193,제주도,제주시,도심,식음료,제주도민,50대,여,201812,22271,47983,1426704390
